sentence,sentiment,topic,split,source,processed_text
nội dung môn học không đáp ứng được mục tiêu của môn học .,negative,training_program,test,UIT-VSFC,nội_dung môn_học không đáp_ứng mục_tiêu môn_học
"ngoài những kiến thức trên lớp , thầy còn hướng dẫn và giảng dạy nhiều kiến thức mới , hỗ trợ tụi em rất nhiều trong quá trình hoàn thành đồ án .",positive,lecturer,test,UIT-VSFC,ngoài kiến_thức lớp thầy còn hướng_dẫn giảng_dạy nhiều kiến_thức mới hỗ_trợ tụi nhiều quá_trình hoàn_thành đồ_án
giảng viên dạy rất là nhiệt tình .,positive,lecturer,test,UIT-VSFC,giảng_viên dạy nhiệt_tình
quá nhiệt tình .,positive,lecturer,test,UIT-VSFC,quá nhiệt_tình
thầy lý thuyết wzjwz223 cũng thường xuyên đi trễ .,negative,lecturer,test,UIT-VSFC,thầy lý thuyết_wzjwz223 thường_xuyên đi trễ
nên cho sinh viên slide để học .,negative,lecturer,test,UIT-VSFC,sinh_viên slide học
cách giảng của thầy đa số trong lớp không ai hiểu dù thấy có giảng lại .,negative,lecturer,test,UIT-VSFC,cách giảng_thầy đa_số lớp không ai hiểu dù thấy giảng
kiến thức chuyên môn sâu .,positive,lecturer,test,UIT-VSFC,kiến_thức chuyên_môn sâu
thầy dạy rất hay và kỹ .,positive,lecturer,test,UIT-VSFC,thầy dạy kỹ
thầy dạy hay dễ hiểu cho làm nhiều bài tập mở rộng để hiểu bài .,positive,lecturer,test,UIT-VSFC,thầy dạy dễ hiểu làm nhiều bài_tập mở_rộng hiểu bài
"những kiến thức thầy cung cấp rất đa dạng và cần thiết , cảm ơn thầy rất nhiều .",positive,lecturer,test,UIT-VSFC,kiến_thức thầy cung_cấp đa_dạng cần_thiết cảm_ơn thầy nhiều
không cần phải mở lớp thực hành với môn học này .,negative,training_program,test,UIT-VSFC,không cần phải mở lớp thực_hành môn_học
sự nhiệt tình tận tâm .,positive,others,test,UIT-VSFC,sự nhiệt_tình tận_tâm
thêm nhiều bài tập thiết thực hơn .,negative,training_program,test,UIT-VSFC,thêm nhiều bài_tập thiết_thực hơn
rất tận tình .,positive,lecturer,test,UIT-VSFC,tận_tình
phương pháp học áp dụng thực tiễn .,positive,lecturer,test,UIT-VSFC,phương_pháp học áp_dụng thực_tiễn
"nhiệt tình , hăng hái .",positive,lecturer,test,UIT-VSFC,nhiệt_tình hăng_hái
"giảng viên nhiệt tình , giảng dạy hiệu quả bằng tiếng anh .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình giảng_dạy hiệu_quả bằng tiếng anh
"ví dụ phù hợp với nội dung kiến thức , hướng dẫn chi tiết .",neutral,training_program,test,UIT-VSFC,ví_dụ phù_hợp nội_dung kiến_thức hướng_dẫn chi_tiết
bài thuyết trình của các sinh viên .,neutral,training_program,test,UIT-VSFC,bài thuyết_trình sinh_viên
cần có nhiều giảng viên như cô dạy hơn .,positive,lecturer,test,UIT-VSFC,cần nhiều giảng_viên cô dạy hơn
ít cho bài tập .,negative,lecturer,test,UIT-VSFC,ít bài_tập
có nhiều thầy cô đến lớp không đúng giờ .,negative,facility,test,UIT-VSFC,nhiều thầy_cô lớp không đúng giờ
đôi lúc sinh viên theo không kịp .,negative,others,test,UIT-VSFC,đôi_lúc sinh_viên không kịp
nhiệt tình giảng bài .,positive,lecturer,test,UIT-VSFC,nhiệt_tình giảng bài
đúng giờ và tận tình trong giảng dạy .,positive,lecturer,test,UIT-VSFC,đúng giờ tận_tình giảng_dạy
"thầy giảng nhiệt tình , truyền đạt nhiều kinh nghiệm học tập cho sinh viên .",positive,lecturer,test,UIT-VSFC,thầy giảng nhiệt_tình truyền_đạt nhiều kinh_nghiệm học_tập sinh_viên
cần thay đổi hệ thống máy tính ở một số phòng thực hành vì đã quá cũ .,negative,facility,test,UIT-VSFC,cần thay_đổi hệ_thống máy_tính số phòng thực_hành quá cũ
cô dạy còn hơi khó hiểu .,negative,lecturer,test,UIT-VSFC,cô dạy còn hơi khó hiểu
chúng em rất khó nắm kiến thức khi chỉ nghe các buổi seminar .,negative,lecturer,test,UIT-VSFC,chúng khó nắm kiến_thức nghe buổi seminar
đề cương thực hành chi tiết .,positive,training_program,test,UIT-VSFC,đề_cương thực_hành chi_tiết
"thầy có khả năng truyền đạt tốt , vui tính .",positive,lecturer,test,UIT-VSFC,thầy khả_năng truyền_đạt tốt vui tính
chất lượng kiểm tra các môn học chưa đánh giá được chất lượng học sinh hiểu bài cho lắm .,negative,training_program,test,UIT-VSFC,chất_lượng kiểm_tra môn_học chưa đánh_giá chất_lượng học_sinh hiểu bài lắm
chứ không chỉ cách viết một đoạn code mới học từ lý thuyết .,negative,training_program,test,UIT-VSFC,chứ không cách viết đoạn code mới học lý_thuyết
"em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .",negative,training_program,test,UIT-VSFC,nghĩ cần thi đủ chứ đi học mấy lần thấy thầy dạy gì đâu
"chia nhỏ điểm ra , mỗi buổi 1 bài lab , nộp bài lab để lấy điểm .",negative,training_program,test,UIT-VSFC,chia nhỏ điểm buổi 1 bài lab nộp bài lab lấy điểm
em rất hài lòng về phương pháp giảng dạy này .,positive,lecturer,test,UIT-VSFC,hài_lòng phương_pháp giảng_dạy
giảng viên sử dụng thời gian lên lớp không hiệu quả .,negative,lecturer,test,UIT-VSFC,giảng_viên sử_dụng thời_gian lên_lớp không hiệu_quả
giảng viên nên đến lớp đầy đủ .,negative,lecturer,test,UIT-VSFC,giảng_viên lớp đầy_đủ
thầy khá tận tình .,positive,lecturer,test,UIT-VSFC,thầy khá tận_tình
nên nâng cao cơ sở vật chất của trường .,negative,facility,test,UIT-VSFC,nâng cao cơ_sở_vật_chất trường
thầy rất dễ tính .,positive,lecturer,test,UIT-VSFC,thầy dễ tính
"nhiệt tình , dễ nghe , dễ hiểu .",positive,lecturer,test,UIT-VSFC,nhiệt_tình dễ nghe dễ hiểu
"thầy dạy bài hay , dễ hiểu và nhiệt tình .",positive,lecturer,test,UIT-VSFC,thầy dạy bài dễ hiểu nhiệt_tình
"ít có thời gian thực hành bằng thiết bị thật , mong nhà trường tạo điều kiện để sinh viên được thực hành nhiều hơn .",negative,facility,test,UIT-VSFC,ít thời_gian thực_hành bằng thiết thật mong nhà_trường tạo điều_kiện sinh_viên thực_hành nhiều hơn
thầy rất vui và dạy rất kỹ .,positive,lecturer,test,UIT-VSFC,thầy vui dạy kỹ
"cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .",positive,lecturer,test,UIT-VSFC,cách thầy hướng sinh_viên tiếp_cận kiến_thức tính chuyên_nghiệp đưa ví_dụ thực_tiễn phản_ánh tốt kiến_thức lý_thuyết hướng_dẫn sinh_viên cách tiếp_cận tài_liệu tiếng anh
chương trình giảng dạy cần được phân bố hợp lý và được cập nhật .,negative,training_program,test,UIT-VSFC,chương_trình giảng_dạy cần phân_bố hợp_lý cập_nhật
gần gũi với sinh viên .,positive,lecturer,test,UIT-VSFC,gần_gũi sinh_viên
đề cập nhiều thông tin mở rộng ngoài xã hội .,positive,lecturer,test,UIT-VSFC,đề_cập nhiều thông_tin mở_rộng ngoài xã_hội
rất hài lòng nên không có gì không hài lòng .,positive,others,test,UIT-VSFC,hài_lòng không gì không hài_lòng
cách giảng dạy của thầy rất vui .,positive,lecturer,test,UIT-VSFC,cách giảng_dạy thầy vui
phòng học còn khá ồn do công trình xây dựng .,negative,facility,test,UIT-VSFC,phòng học còn khá ồn_do công_trình xây_dựng
gíao viên hầu như chỉ dạy qua loa cho có .,negative,lecturer,test,UIT-VSFC,giáo_viên hầu_dạy loa
"gây mê , hay mắng và rất dễ hờn coloncontemn .",negative,lecturer,test,UIT-VSFC,gây mê_mắng dễ hờn coloncontemn
"thầy hay cho những ví dụ , trường hợp rất thực tế .",positive,lecturer,test,UIT-VSFC,thầy ví_dụ trường_hợp thực_tế
thầy dạy rất thuyết phục và dễ hiểu .,positive,lecturer,test,UIT-VSFC,thầy dạy thuyết_phục dễ hiểu
"giảng viên nên cân đối thời gian giảng dạy , không để trễ bài .",negative,lecturer,test,UIT-VSFC,giảng_viên cân_đối thời_gian giảng_dạy không trễ bài
cô dạy hay nhiệt huyết tiết học vui nhộn dễ hiểu .,positive,lecturer,test,UIT-VSFC,cô dạy nhiệt_huyết_tiết học vui_nhộn dễ hiểu
giáo viên thực hành .,neutral,lecturer,test,UIT-VSFC,giáo_viên thực_hành
"giảng viên rất nhiệt tình , giảng bài dễ hiểu .",positive,lecturer,test,UIT-VSFC,giảng_viên nhiệt_tình giảng_bài dễ hiểu
hoặc cô có thể cung cấp trực tiếp slide tiếng anh để sinh viên học .,negative,lecturer,test,UIT-VSFC,cô_thể cung_cấp trực_tiếp slide tiếng anh sinh_viên học
"có ba buổi học , chỉ những người tham gia buổi đầu mới biết các buổi tiếp theo .",negative,training_program,test,UIT-VSFC,ba buổi học người tham_gia buổi đầu mới biết buổi tiếp
bài tập thầy giảng rất hay .,positive,training_program,test,UIT-VSFC,bài_tập thầy giảng
"giảng viên giảng dạy tốt , nhiệt tình .",positive,lecturer,test,UIT-VSFC,giảng_viên giảng_dạy tốt nhiệt_tình
hơi khô khan trong việc giảng dạy .,negative,lecturer,test,UIT-VSFC,hơi khô_khan giảng_dạy
các buổi ngoại khóa nên được mở .,negative,others,test,UIT-VSFC,buổi ngoại_khóa mở
"do trình độ tiếng anh của lớp không cao chỉ một số ít có khả năng nghe , đọc , và hiểu được bài giảng của thấy nên hiệu quả của việc giảng dạy bằng tiếng anh là chưa cao .",negative,lecturer,test,UIT-VSFC,do trình_độ tiếng anh lớp không cao số_ít khả_năng nghe đọc hiểu bài giảng thấy hiệu_quả giảng_dạy bằng tiếng anh chưa cao
sử dụng quá nhiều tiếng anh để giảng bài trong khi sinh viên ngồi dưới chẳng hiểu là bao nhiêu .,negative,training_program,test,UIT-VSFC,sử_dụng quá nhiều tiếng anh giảng bài sinh_viên ngồi dưới chẳng hiểu bao_nhiêu
"nên tạo thêm cảm hứng khi học như doubledot học qua bài hát , hình ảnh .",negative,training_program,test,UIT-VSFC,tạo thêm cảm_hứng học doubledot_học bài hát hình_ảnh
"giảng viên giảng dạy nhiệt tình , lên lớp đúng giờ .",positive,lecturer,test,UIT-VSFC,giảng_viên giảng_dạy nhiệt_tình lên lớp đúng giờ
"thầy vui vẻ , tận tình .",positive,lecturer,test,UIT-VSFC,thầy vui_vẻ tận_tình
tóm lại doubledot cô là giảng viên tệ nhất được học từ năm nhất đến bây giờ .,negative,lecturer,test,UIT-VSFC,tóm doubledot cô giảng_viên tệ nhất học năm nhất bây_giờ
"nhiệt tình , yêu cô nhiều nhiều colonsmile .",positive,lecturer,test,UIT-VSFC,nhiệt_tình_yêu cô nhiều nhiều colonsmile
cô dạy lý thuyết rất dễ hiểu .,positive,lecturer,test,UIT-VSFC,cô dạy lý_thuyết dễ hiểu
tâm lý .,neutral,others,test,UIT-VSFC,tâm_lý
em nghĩ nên dạy thực hành và nộp bài tập thực hành cách lịch học lý thuyết thêm một tuần nữa so với học kỳ này .,negative,training_program,test,UIT-VSFC,nghĩ dạy thực_hành nộp bài_tập thực_hành cách lịch_học lý_thuyết thêm tuần nữa so học kỳ
"giảng viên cho bài tập sát với nội dung , giảng giải dễ hiểu .",positive,lecturer,test,UIT-VSFC,giảng_viên bài_tập sát nội_dung giảng_giải dễ hiểu
